Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Bestseller sort (product.metafields.custom.bestseller_sort),Best for (product.metafields.custom.best_for),Creator note creator (slug) (product.metafields.custom.creator_note_creator),Creator note quote (product.metafields.custom.creator_note_quote),How it wears (product.metafields.custom.how_it_wears),How to use (product.metafields.custom.how_to_use),Made the edit (product.metafields.custom.made_the_edit),Related products (product.metafields.custom.related_products),Short description (product.metafields.custom.short_description),Why it made the edit (product.metafields.custom.why_it_made_the_edit),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
sum37-skin-stay-moisture-lipcerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/sum37-skin-stay-moisture-lipcerin-03.webp?v=1779882664,3,"",,,,,,,,,,,,,,,,,,,,,,,
simihaze-velvet-blur-lip-balm,Velvet Blur Lip Balm,<p>A velvet-finish lip balm with a soft blur effect.</p>,SIMIHAZE BEAUTY,,Lip,"lips, makeup",true,Option,Soft Haze,,,,,,,,simihaze-velvet-blur-lip-balm-01,0.0,shopify,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/simihaze-velvet-blur-lip-balm-01.webp?v=1779882658,1,"",false,,,,,,,,,,,A velvet-finish lip balm with a soft blur effect.,,,,,lb,,,,,,active
simihaze-velvet-blur-lip-balm,,,,,,,,,Warm Dust,,,,,,,,simihaze-velvet-blur-lip-balm-02,0.0,shopify,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/simihaze-velvet-blur-lip-balm-02.webp?v=1779882659,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
simihaze-velvet-blur-lip-balm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/simihaze-velvet-blur-lip-balm-03.webp?v=1779882659,3,"",,,,,,,,,,,,,,,,,,,,,,,
romand-black-lip-trio-edition,Black Lip Trio Edition,"<p>A three-lip set in a collectible black case. Tint, gloss, and matte.</p>",rom&nd,,Lip,"lips, made-the-edit, makeup",true,Option,01 Dusty Pink,,,,,,,,romand-black-lip-trio-edition-01,0.0,shopify,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/romand-black-lip-trio-01.webp?v=1779882654,1,"",false,,,,"Editorial looks
Layered lip
High-contrast makeup",,,A juicy lasting tint finish that sets to a soft stain. Pigment-forward in a single pass.,"Apply directly from the doe-foot for a saturated lip, or press in with a fingertip for a blurred stain.",TRUE,,"A three-lip set in a collectible black case. Tint, gloss, and matte.",,,,,lb,,,,,,active
romand-black-lip-trio-edition,,,,,,,,,02 Fig Mauve,,,,,,,,romand-black-lip-trio-edition-02,0.0,shopify,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/romand-black-lip-trio-02.webp?v=1779882654,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
romand-black-lip-trio-edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/romand-black-lip-trio-03.webp?v=1779882654,3,"",,,,,,,,,,,,,,,,,,,,,,,
rmk-pure-complexion-blush,Pure Complexion Blush,"<p>A sheer, buildable powder blush for a natural flush.</p>",RMK,,Face,"face, makeup",true,Option,01 Shy Pink,,,,,,,,rmk-pure-complexion-blush-01,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/rmk-pure-complexion-blush-01.webp?v=1779882649,1,"",false,,,,"Soft daily flush
Layering over base
Travel-friendly",,,Finely milled powder that lays evenly without dragging. Reads as a soft flush rather than a stripe of colour.,"Sweep a soft brush across the pan and tap off excess, then build colour onto the apples of the cheeks and blend outward.",,,"A sheer, buildable powder blush for a natural flush.",,,,,lb,,,,,,active
rmk-pure-complexion-blush,,,,,,,,,02 Baby Coral,,,,,,,,rmk-pure-complexion-blush-02,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/rmk-pure-complexion-blush-02.webp?v=1779882649,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
rmk-pure-complexion-blush,,,,,,,,,03 Dusk Rose,,,,,,,,rmk-pure-complexion-blush-03,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/rmk-pure-complexion-blush-03.webp?v=1779882649,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
portre-tint-glow-jour,Tint Glow Jour,<p>A glow-finish lip tint with sculptural packaging.</p>,Portré,,Lip,"lips, makeup",true,Option,01 Mute Rose,,,,,,,,portre-tint-glow-jour-01,0.0,shopify,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/portre-tint-glow-jour-01.webp?v=1779882643,1,"",false,,,,"Daily wear
Glossy finish
Layering over balm",,,"Glossy, cushioned finish with saturated colour from a single dab.",Dab the doe-foot applicator onto the centre of the lips and press out with a fingertip for a softer edge.,,,A glow-finish lip tint with sculptural packaging.,,,,,lb,,,,,,active
portre-tint-glow-jour,,,,,,,,,02 Fig Cashmere,,,,,,,,portre-tint-glow-jour-02,0.0,shopify,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/portre-tint-glow-jour-02.webp?v=1779882643,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
portre-tint-glow-jour,,,,,,,,,03 Coral Silk,,,,,,,,portre-tint-glow-jour-03,0.0,shopify,deny,manual,26.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
obge-perfect-homme-cushion,Perfect Homme Cushion,<p>A men's cushion with a natural matte finish. SPF 50+ PA++++.</p>,OBgE,,Face,"face, made-the-edit, makeup",true,Option,01 Light,,,,,,,,obge-perfect-homme-cushion-01,0.0,shopify,deny,manual,38.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/obge-perfect-homme-cushion-01.webp?v=1779882639,1,"",false,,,,"Daily wear
Skin-true finish
Low-shine base",,,"Lightweight, low-shine finish that reads as skin. Buildable from a sheer evening to fuller coverage.","Press the puff onto the cushion, then tap onto the centre of the face and blend outward. Layer only where needed.",TRUE,,A men's cushion with a natural matte finish. SPF 50+ PA++++.,,,,,lb,,,,,,active
obge-perfect-homme-cushion,,,,,,,,,02 Natural,,,,,,,,obge-perfect-homme-cushion-02,0.0,shopify,deny,manual,38.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/obge-perfect-homme-cushion-02.webp?v=1779882639,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
ohui-ultimate-cover-primer,Ultimate Cover Primer,<p>A tone-correcting primer that smooths and preps skin under base. SPF 30 PA++.</p>,O HUI,,Prep & Finish,"made-the-edit, makeup, prep-and-finish",true,Option,One size,,,,,,,,ohui-ultimate-cover-primer-01,0.0,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/ohui-ultimate-cover-primer-01.webp?v=1779882635,1,"",false,,,,"Tone correction
Smoothing base
Daily SPF prep",,,Lightweight primer that smooths and tone-corrects before base. SPF 20 PA++.,"After skincare, dispense a small amount and press across the face, focusing on areas where tone correction is needed. Follow with foundation or cushion.",TRUE,,A tone-correcting primer that smooths and preps skin under base. SPF 30 PA++.,,,,,lb,,,,,,active
ohui-ultimate-cover-primer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/ohui-ultimate-cover-primer-02.webp?v=1779882635,2,"",,,,,,,,,,,,,,,,,,,,,,,
ohui-ultimate-cover-primer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/ohui-ultimate-cover-primer-03.webp?v=1779882635,3,"",,,,,,,,,,,,,,,,,,,,,,,
nobev-easy-peasy-filter-cover-cushion,Easy Peasy Filter Cover Cushion,<p>A lightweight cushion with a natural filter finish. SPF 50+ PA++++.</p>,nobev,,Face,"face, made-the-edit, makeup",true,Option,01 Light,,,,,,,,nobev-easy-peasy-filter-cover-cushion-01,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/nobev-easy-peasy-filter-cover-cushion-01.webp?v=1779882631,1,"",false,,,,"Daily wear
Soft-focus finish
Touch-ups on the go",,,Soft-focus finish with buildable coverage. Stays comfortable through wear without settling heavy.,"Press the puff onto the cushion, then tap onto the centre of the face and blend outward. Snap in the refill once the original runs out.",TRUE,,A lightweight cushion with a natural filter finish. SPF 50+ PA++++.,,,,,lb,,,,,,active
nobev-easy-peasy-filter-cover-cushion,,,,,,,,,02 Natural,,,,,,,,nobev-easy-peasy-filter-cover-cushion-02,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/nobev-easy-peasy-filter-cover-cushion-02.webp?v=1779882631,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
nobev-easy-peasy-filter-cover-cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/nobev-easy-peasy-filter-cover-cushion-03.webp?v=1779882631,3,"",,,,,,,,,,,,,,,,,,,,,,,
muzigae-mansion-twist-pot-eye-palette,Twist Pot Eye Palette,"<p>A compact, stackable eye palette with four coordinated shades.</p>",MUZIGAE MANSION,,Eyes,"eyes, makeup",true,Option,01 Warm Suede,,,,,,,,muzigae-mansion-twist-pot-eye-palette-01,0.0,shopify,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-twist-pot-eye-palette-01.webp?v=1779882626,1,"",false,,,,"Daily eye
Travel
Soft daily flush",,,"Four coordinated pans across matte, satin, and shimmer in each option. Pigment is buildable from a soft wash to a defined eye.","Sweep the lightest tone across the lid, layer the shimmer through the centre, and deepen the outer corner with the darkest pan.",,,"A compact, stackable eye palette with four coordinated shades.",,,,,lb,,,,,,active
muzigae-mansion-twist-pot-eye-palette,,,,,,,,,02 Cool Dust,,,,,,,,muzigae-mansion-twist-pot-eye-palette-02,0.0,shopify,deny,manual,28.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-twist-pot-eye-palette-02.webp?v=1779882626,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
muzigae-mansion-twist-pot-eye-palette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-twist-pot-eye-palette-03.webp?v=1779882626,3,"",,,,,,,,,,,,,,,,,,,,,,,
muzigae-mansion-one-only-single-shadow,One & Only Single Shadow,"<p>A single-pan eye shadow with a soft, buildable finish. Four textures.</p>",MUZIGAE MANSION,,Eyes,"eyes, made-the-edit, makeup",true,Option,Glitter,,,,,,,,muzigae-mansion-one-only-single-shadow-01,0.0,shopify,deny,manual,16.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-one-only-single-shadow-01.webp?v=1779882621,1,"",false,,,,"Single-shade eye
Layering
Travel-friendly",,,"Buildable single-pan pigment across matte, satin, and shimmer finishes. Lays evenly and blends without fallout.",Press onto the lid with a fingertip for full payoff or sweep with a soft brush for a wash. Layer with other shades to build a defined eye.,TRUE,,"A single-pan eye shadow with a soft, buildable finish. Four textures.",,,,,lb,,,,,,active
muzigae-mansion-one-only-single-shadow,,,,,,,,,Shimmer,,,,,,,,muzigae-mansion-one-only-single-shadow-02,0.0,shopify,deny,manual,16.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-one-only-single-shadow-02.webp?v=1779882621,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
muzigae-mansion-one-only-single-shadow,,,,,,,,,Matte,,,,,,,,muzigae-mansion-one-only-single-shadow-03,0.0,shopify,deny,manual,16.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-one-only-single-shadow-03.webp?v=1779882621,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
muzigae-mansion-one-only-single-shadow,,,,,,,,,Satin,,,,,,,,muzigae-mansion-one-only-single-shadow-04,0.0,shopify,deny,manual,16.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
muzigae-mansion-moodwear-blur-lipstick,Moodwear Blur Lipstick,<p>A soft-focus matte lipstick with a lived-in blur finish.</p>,MUZIGAE MANSION,,Lip,"lips, makeup",true,Option,01 Drift,,,,,,,,muzigae-mansion-moodwear-blur-lipstick-01,0.0,shopify,deny,manual,24.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-moodwear-blur-lipstick-01.webp?v=1779882616,1,"",false,,,,"Defined lip
Editorial finish
Evening",,,"Full pigment in one pass. Sets to a soft, powdery matte that holds its shape through wear.","Apply directly from the bullet, starting at the centre of the lip and pressing out. For a softer edge, tap out with a fingertip.",,,A soft-focus matte lipstick with a lived-in blur finish.,A matte that reads soft rather than dry. The blurred finish gives weight and edge without the flatness most matte bullets settle into.,,,,lb,,,,,,active
muzigae-mansion-moodwear-blur-lipstick,,,,,,,,,02 Grain,,,,,,,,muzigae-mansion-moodwear-blur-lipstick-02,0.0,shopify,deny,manual,24.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-moodwear-blur-lipstick-02.webp?v=1779882616,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
muzigae-mansion-moodwear-blur-lipstick,,,,,,,,,03 Warmth,,,,,,,,muzigae-mansion-moodwear-blur-lipstick-03,0.0,shopify,deny,manual,24.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/muzigae-moodwear-blur-lipstick-03.webp?v=1779882616,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
muzigae-mansion-moodwear-blur-lipstick,,,,,,,,,04 Flush,,,,,,,,muzigae-mansion-moodwear-blur-lipstick-04,0.0,shopify,deny,manual,24.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-skin-nuder-foundation,Skin Nuder Foundation,"<p>A lightweight liquid foundation for a sheer, skin-true finish. 30 ml.</p>",JUNGSAEMMOOL,,Face,"face, makeup",true,Option,Light,,,,,,,,jungsaemmool-skin-nuder-foundation-01,0.0,shopify,deny,manual,48.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-skin-nuder-foundation-01.webp?v=1779882611,1,"",false,,,,"Daily wear
Skin-true finish
Layering with a powder set",,,"Lightweight liquid that lays in a soft, second-skin finish. Buildable from a sheer wash to medium coverage without going heavy.","Press a small amount onto the puff or fingertips. Tap onto the centre of the face and blend outward, building only where needed.",,,"A lightweight liquid foundation for a sheer, skin-true finish. 30 ml.","An iF Design Award winning bottle around a base built by a working artist. The finish reads as skin rather than coverage, which is the harder thing to engineer.",,,,lb,,,,,,active
jungsaemmool-skin-nuder-foundation,,,,,,,,,Medium Light,,,,,,,,jungsaemmool-skin-nuder-foundation-02,0.0,shopify,deny,manual,48.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-skin-nuder-foundation-02.webp?v=1779882611,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-skin-nuder-foundation,,,,,,,,,Medium,,,,,,,,jungsaemmool-skin-nuder-foundation-03,0.0,shopify,deny,manual,48.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-skin-nuder-foundation-03.webp?v=1779882611,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-skin-nuder-foundation,,,,,,,,,Medium Deep,,,,,,,,jungsaemmool-skin-nuder-foundation-04,0.0,shopify,deny,manual,48.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-new-classic-matte-lipstick,New Classic Matte Lipstick,"<p>A velvet matte lipstick with a buildable, second-skin finish.</p>",JUNGSAEMMOOL,,Lip,"bestseller, lips, made-the-edit, makeup",true,Option,Understated,,,,,,,,jungsaemmool-new-classic-matte-lipstick-01,0.0,shopify,deny,manual,34.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-new-classic-matte-lipstick-01.webp?v=1779882605,1,"",false,,,'8,"Defined lip
Photography
All-day wear",,,Soft-matte finish with full pigment. Lays evenly without dragging or settling into lines.,"Apply directly from the bullet, starting at the centre of the lip and pressing out to the edge. Blot for an even softer finish.",TRUE,,"A velvet matte lipstick with a buildable, second-skin finish.",A matte from a working artist's brand that prioritises wear over flatness. Pigment lays evenly in one pass and stays comfortable through the day.,,,,lb,,,,,,active
jungsaemmool-new-classic-matte-lipstick,,,,,,,,,Statement,,,,,,,,jungsaemmool-new-classic-matte-lipstick-02,0.0,shopify,deny,manual,34.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-new-classic-matte-lipstick-02.webp?v=1779882605,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-new-classic-matte-lipstick,,,,,,,,,Refined,,,,,,,,jungsaemmool-new-classic-matte-lipstick-03,0.0,shopify,deny,manual,34.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-new-classic-matte-lipstick-03.webp?v=1779882606,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-new-classic-matte-lipstick,,,,,,,,,Muted,,,,,,,,jungsaemmool-new-classic-matte-lipstick-04,0.0,shopify,deny,manual,34.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hera-soft-finish-loose-powder,Soft Finish Loose Powder,<p>A finishing powder that blurs pores and sets base with a soft-focus effect.</p>,HERA,,Face,"face, makeup",true,Option,One size,,,,,,,,hera-soft-finish-loose-powder-01,0.0,shopify,deny,manual,44.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-soft-finish-loose-powder-01.webp?v=1779882600,1,"",false,,,,"Setting base
Soft-focus finish
Travel-friendly",,,"Finely milled with a weightless feel. Sets base makeup to a soft, blurred finish without flattening the skin.","Tap a small amount onto the puff or brush, press into the T-zone and any areas prone to movement, then dust off any excess.",,,A finishing powder that blurs pores and sets base with a soft-focus effect.,,,,,lb,,,,,,active
hera-soft-finish-loose-powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-soft-finish-loose-powder-02.webp?v=1779882600,2,"",,,,,,,,,,,,,,,,,,,,,,,
hera-soft-finish-loose-powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-soft-finish-loose-powder-03.webp?v=1779882600,3,"",,,,,,,,,,,,,,,,,,,,,,,
hera-rouge-classy,Rouge Classy,"<p>A creamy, full-coverage lipstick with a sophisticated semi-matte finish.</p>",HERA,,Lip,"lips, makeup",true,Option,250 Rosy Suede,,,,,,,,hera-rouge-classy-01,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-rouge-classy-01.webp?v=1779882595,1,"",false,,,,"Evening
Polished daily wear
Precise application",,,Satin finish with even payoff. Comfortable through wear without dragging.,"Apply directly from the bullet, starting at the centre of the lip and pressing out to the edge.",,,"A creamy, full-coverage lipstick with a sophisticated semi-matte finish.","A clean, prestige red in a slim case. The satin finish reads as colour without the weight of a matte, and the slimline bullet lays a precise edge in a single pass.",,,,lb,,,,,,active
hera-rouge-classy,,,,,,,,,176 Nude Beige,,,,,,,,hera-rouge-classy-02,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-rouge-classy-02.webp?v=1779882595,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
hera-rouge-classy,,,,,,,,,277 Red Vibe,,,,,,,,hera-rouge-classy-03,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-rouge-classy-03.webp?v=1779882595,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-classic-shine-lipstick,Classic Shine Lipstick,<p>A satin-shine lipstick with rich colour payoff and a comfortable feel.</p>,JUNGSAEMMOOL,,Lip,"lips, makeup",true,Option,Essential,,,,,,,,jungsaemmool-classic-shine-lipstick-01,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-classic-shine-lipstick-01.webp?v=1779882590,1,"",false,,,,,,,,,,,A satin-shine lipstick with rich colour payoff and a comfortable feel.,,,,,lb,,,,,,active
jungsaemmool-classic-shine-lipstick,,,,,,,,,Alluring,,,,,,,,jungsaemmool-classic-shine-lipstick-02,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-classic-shine-lipstick-02.webp?v=1779882590,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-classic-shine-lipstick,,,,,,,,,Iconic,,,,,,,,jungsaemmool-classic-shine-lipstick-03,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-classic-shine-lipstick-03.webp?v=1779882590,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
hera-silky-stay-24h-foundation,Silky Stay 24H Longwear Foundation,"<p>A longwear liquid foundation with a satin finish. SPF 20 PA++, 30 ml.</p>",HERA,,Face,"face, makeup",true,Option,13 Ivory,,,,,,,,hera-silky-stay-24h-foundation-01,0.0,shopify,deny,manual,58.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-silky-stay-foundation-01.webp?v=1779882584,1,"",false,,,,"Longwear
Satin finish
Daily SPF",,,"All-day comfort with a satin, retouch-free finish. SPF 20 PA++.","Press a small amount onto the centre of the face and blend outward with fingertips, brush, or sponge. Build only where needed.",,,"A longwear liquid foundation with a satin finish. SPF 20 PA++, 30 ml.",,,,,lb,,,,,,active
hera-silky-stay-24h-foundation,,,,,,,,,17 Vanilla,,,,,,,,hera-silky-stay-24h-foundation-02,0.0,shopify,deny,manual,58.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-silky-stay-foundation-02.webp?v=1779882584,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
hera-silky-stay-24h-foundation,,,,,,,,,21N1 Vanilla Cover,,,,,,,,hera-silky-stay-24h-foundation-03,0.0,shopify,deny,manual,58.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-silky-stay-foundation-03.webp?v=1779882584,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
hera-silky-stay-24h-foundation,,,,,,,,,21N2 Beige Vanilla,,,,,,,,hera-silky-stay-24h-foundation-04,0.0,shopify,deny,manual,58.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hera-silky-stay-24h-foundation,,,,,,,,,21C1 Cool Vanilla,,,,,,,,hera-silky-stay-24h-foundation-05,0.0,shopify,deny,manual,58.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hera-silky-stay-24h-foundation,,,,,,,,,23N1 Beige,,,,,,,,hera-silky-stay-24h-foundation-06,0.0,shopify,deny,manual,58.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hera-silky-stay-24h-foundation,,,,,,,,,23N2 Sand,,,,,,,,hera-silky-stay-24h-foundation-07,0.0,shopify,deny,manual,58.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
hera-silky-stay-24h-foundation,,,,,,,,,25N1 Tan,,,,,,,,hera-silky-stay-24h-foundation-08,0.0,shopify,deny,manual,58.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-artist-eye-palette,Artist Eye Palette,"<p>A six-pan eye palette across matte, satin, and shimmer in three editions.</p>",JUNGSAEMMOOL,,Eyes,"creator-pick, eyes, made-the-edit, makeup",true,Option,01 Pink Believe,,,,,,,,jungsaemmool-artist-eye-palette-01,0.0,shopify,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-artist-eye-palette-01.webp?v=1779882580,1,"",false,,,,"Daily eye
Soft shimmer
Defined finish",,,"Six coordinated pans across matte, satin, and shimmer. Pigment is buildable from a soft wash to a defined eye.",Sweep the lightest matte across the lid as a base. Layer the shimmer through the centre and deepen the outer corner with the darkest tone.,TRUE,,"A six-pan eye palette across matte, satin, and shimmer in three editions.",,,,,lb,,,,,,active
jungsaemmool-artist-eye-palette,,,,,,,,,02 Mint Beauty,,,,,,,,jungsaemmool-artist-eye-palette-02,0.0,shopify,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-artist-eye-palette-02.webp?v=1779882580,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
jungsaemmool-artist-eye-palette,,,,,,,,,03 Nude Edit,,,,,,,,jungsaemmool-artist-eye-palette-03,0.0,shopify,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0830/5741/0292/files/jungsaemmool-artist-eye-palette-03.webp?v=1779882580,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
giverny-dewy-lip-glaze,Dewy Lip Glaze,"<p>A glassy, cushioned lip glaze with non-sticky shine.</p>",Giverny,,Lip,"lips, makeup, new",true,Option,01 Muted Peach,,,,,,,,giverny-dewy-lip-glaze-01,0.0,shopify,deny,manual,22.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/giverny-dewy-lip-glaze-01.webp?v=1779882575,1,"",false,,,,"Daily wear
Layering over balm or tint",,,"Glassy, cushioned shine in a single pass. Non-sticky on settle.",,,,"A glassy, cushioned lip glaze with non-sticky shine.",,,,,lb,,,,,,active
giverny-dewy-lip-glaze,,,,,,,,,02 Mellow Beige,,,,,,,,giverny-dewy-lip-glaze-02,0.0,shopify,deny,manual,22.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/giverny-dewy-lip-glaze-02.webp?v=1779882575,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
giverny-dewy-lip-glaze,,,,,,,,,03 Kitten Coral,,,,,,,,giverny-dewy-lip-glaze-03,0.0,shopify,deny,manual,22.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/giverny-dewy-lip-glaze-03.webp?v=1779882575,3,"",,,,,,,,,,,,,,,,,lb,,,,,,
